 Morbidade Hospitalar do SUS - por local de residência - Paraíba
Valor total por Município e Ano/mês processamento
Lista Morb  CID-10: Doença pelo vírus da imunodeficiência humana [HIV], Estado infec assint vírus da imunodef humana [HIV]
Período:2019-2024
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"250010 AGUA BRANCA";-;-;-;-;5400,57;573,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6020,72
"250020 AGUIAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45
"250030 ALAGOA GRANDE";-;293,59;613,04;827,35;1313,68;-;634,61;-;-;1764,97;7849,87;-;1008,44;-;2165,14;-;-;1052,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;331,54;-;-;23,45;-;-;-;313,65;25697,34;293,59;1758,06;-;1333,57;-;-;-;293,59;1052,74;640,23;-;-;-;-;-;-;-;-;-;-;-;-;1083,29;-;1789,98;-;1393,12;14636,24;-;-;68163,82
"250040 ALAGOA NOVA";-;709,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;998,86;-;1671,91;866,84;-;-;-;-;1089,16;-;-;-;-;-;-;1646,11;-;-;926,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2904,34;-;-;-;-;-;-;-;-;-;-;-;10813,53
"250050 ALAGOINHA";-;573,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1033,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;1604,51;-;-;-;-;-;-;-;-;1537,63;800,66;-;-;-;1080,32;-;-;995,06;-;-;-;-;-;-;-;293,59;-;-;1702,58;9644,83
"250053 ALCANTIL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1116,34;-;-;-;-;-;-;-;-;-;-;-;-;1116,34
"250057 ALGODAO DE JANDAIRA";-;-;-;-;-;-;-;-;-;1681,84;-;-;-;-;-;-;-;9212,93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;491,95;11386,72
"250060 ALHANDRA";-;-;293,59;1156,71;1881,41;6734,91;1686,06;7399,18;4477,67;293,59;5862,62;1111,58;1940,41;2172,95;-;-;-;-;-;-;604,51;-;747,61;1540,56;-;800,66;23,45;15931,75;831,92;46,90;4058,92;1340,28;23,45;-;3513,34;13538,76;507,07;-;2150,78;-;1707,07;1137,21;-;34246,12;-;-;838,61;2641,89;-;-;-;23,45;17681,15;-;-;1113,76;-;674,18;-;-;-;-;-;-;1408,54;1188,18;5776,84;-;2115,44;4052,69;12075,85;649,02;168000,64
"250070 SAO JOAO DO RIO DO PEIXE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;573,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1233,76;-;-;-;-;-;-;-;-;-;-;157,99;-;-;-;3590,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5555,72
"250077 APARECIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;729,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;729,18
